8.341148728821872263e-03,9.582791722734000928e-01,8.361776315308870611e-03,8.346051724264209534e-03,8.338476873118391003e-03,8.333374085086645358e-03
5.968173067210388524e-03,7.708041872197439748e-01,5.959988369065803357e-03,5.953484251574339692e-03,5.952444990367017873e-03,2.053617221020385408e-01
5.175260909972169143e-01,2.372896688518689734e-01,3.546329140404097611e-03,3.559751474567097312e-03,3.546894432688249901e-03,2.345312651032545881e-01
1.190717605596080045e-02,9.400756631231268479e-01,1.192280053551203305e-02,1.191353384778413502e-02,1.198359990404897386e-02,1.219722653356723925e-02
9.852562390295032876e-03,9.509193803196436257e-01,9.804034863580540077e-03,9.815567335376560593e-03,9.804094412377619208e-03,9.804360678726429038e-03
9.262894072774864943e-03,9.261510920135503089e-03,9.259307495031352322e-03,1.758641335861696464e-01,7.870928503988410263e-01,9.259303527047608659e-03
1.115900238680235697e-02,3.934587548572925364e-01,1.111123414351415303e-02,1.111112888503313668e-02,1.445047510790540557e-01,4.286551286483036849e-01
1.666908153545406529e-02,1.668281689628903219e-02,1.667334098999579892e-02,1.666667284083271292e-02,1.667620270476733585e-02,9.166318850326610201e-01
1.515502000571002442e-02,9.240765883283061921e-01,1.523401408999137258e-02,1.515152745291710804e-02,1.523125436881238824e-02,1.515159575426294411e-02
4.765936495492223771e-03,8.458605899090458902e-01,4.820244704830002093e-03,4.761960149692901281e-03,4.765925080790417608e-03,1.350253436601486778e-01
1.391077301989477981e-02,9.302864275502183977e-01,1.390727517537020293e-02,1.409316939935069922e-02,1.390904275578503692e-02,1.389331209938089555e-02
6.431991779331103741e-03,6.470445154198054549e-01,3.272816096755866710e-01,6.410259167218670083e-03,6.416345192127585924e-03,6.415278765930577595e-03
8.444041082409448409e-03,9.581229473737136182e-01,8.354103483172241676e-03,8.391418444929500675e-03,8.334507652516462417e-03,8.352981963258686998e-03
4.095034508829094311e-03,8.444228474745184565e-01,4.065101989745071275e-03,6.424615006926046035e-02,4.065117226494316394e-03,7.910574873115260031e-02
6.421833091342342599e-03,5.369841541957385278e-01,6.416520004567148085e-03,6.411247466924886902e-03,4.373542643599558910e-01,6.411980881471263452e-03
2.381170056376102906e-02,2.388853988759762764e-02,2.380970537966034181e-02,2.380954593437039843e-02,8.808662444861393714e-01,2.381426374847120386e-02
5.561369926124670043e-03,9.347854211962839388e-01,5.560091880904608451e-03,5.558074632231816033e-03,5.574326865220300027e-03,4.296071549923460853e-02
7.937303631281096561e-03,7.557983444298659315e-01,7.940796480146200542e-03,7.936543941738379015e-03,2.123945260062961582e-01,7.992485510672315760e-03
1.671384276119690371e-02,9.164791573336797947e-01,1.667817088797846417e-02,1.668319462379418833e-02,1.668411592089462728e-02,1.676151847245607729e-02
